Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Direct Measurement Of Landfill Methane Emissions 2,Defra,Opportunity,Open,Sw1P 4Df,2024-06-17 12:00:00,  £0.01,
Pre-Harvesting Chainsaw Operations Framework,Forestry England (On Behalf Of Forestry Commission),Opportunity,Open,North East,2024-06-17 12:00:00,  £400000,2024-05-16
Green Grids Initiative (Ggi) Secretariat Grant Competition,Desnz,Opportunity,Open,Any Region,2024-06-27 13:00:00,  £500000,2024-05-16
"Design And Build Of A New Indoor Adventure Play Area, The Wave Centre, Maryport.",Cumberland Council,Opportunity,Open,United Kingdom,2024-06-05 12:00:00,  £190000,2024-05-16
Truro Northern Access Road (Nar) Tactile Paving Works,Corserv Limited,Opportunity,Open,England,2024-06-14 14:00:00,  £100000,2024-05-16
C253996 Dhsc Nhs Human Leucocyte Antigen Typing - Advanced Rapid High Resolution,Dhsc,Early Engagement,Open,Sw1H 0Eu,2024-05-31 00:00:00,Publication date  8 May 2024 last edited 16 May 2024,
E-Itt For The Establishment Of A Framework Agreement For The Replacement Of Domestic Boilers In Council Housing (2024-2028),New Forest District Council,Opportunity,Open,England,2024-06-07 12:00:00,  £1600000 to £1700000,
West Coast Workboat,Bip Solutions Limited,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2024-05-29 00:00:00,  £0,2024-05-16
Procurement Opportunity To Deliver Innovation Assessments,East Riding Of Yorkshire Council,Opportunity,Open,Yorkshire And The Humber,2024-06-04 17:00:00,  £10000 to £30000,
Student Transport Provision,In-Tend E-Tendering,Opportunity,Open,S65 1Eg,2024-06-26 16:00:00,  £0,
Major Adaptations In Service User Homes Pre-Market Engagement,Nottinghamshire County Council,Early Engagement,Open,England,2024-05-29 00:00:00,Publication date 16 May 2024,
Neasus Vehicle Body Repair,North East Ambulance Service,Opportunity,Open,Sr4 6Sj,2024-06-19 12:00:00,  £150000,2024-05-16
Mobile Ar Vr Display Solutions - 2024,University Of Hertfordshire,Opportunity,Open,Al10 9Ab,2024-05-24 12:00:00,  £1 to £660000,
Waste Composition And Analysis Of Household Waste,Wigan Council,Opportunity,Open,England,2024-06-17 17:00:00,  £30000 to £40000,
National Reference Laboratory For Chemical Hazards,Food Standards Agency,Opportunity,Open,Yo1 7Pr,2024-06-17 12:00:00,  £1 to £2800000,2024-05-16
Isolators - Aseptic Unit,The Royal Marsden Hospital,Opportunity,Open,Sw3 6Jj,2024-06-17 09:00:00,  £600000,2024-05-16
Mw-Blantyre: Em107 - Supply And Installation Of Audio Visual Equipment At Creator Building In Malawi,Liverpool School Of Tropical Medicine,Opportunity,Open,Any Region,2024-05-30 12:00:00,  £50000 to £100000,2024-05-16
P2168 - Young Carers And Young Adult Carers Transition Service,Birmingham City Council,Opportunity,Open,B4 7Wb,2024-06-07 12:00:00,  £0,
"University Of Keele (""The University"") Concession Agreement For The Provision Of An Eatery Facility At Keele In Town",Keele University,Opportunity,Open,St5 5Bg,2024-05-31 12:00:00,  £0,2024-05-15
Water Cycle Study & Strategic Flood Risk Assessment [Wbc],Waverley Borough Council,Opportunity,Open,Gu7 1Hr,2024-06-14 12:00:00,  £0,
Campus Cleaning Services,Moulton College,Opportunity,Open,East Midlands,2024-06-14 18:00:00,  £2000000,2024-05-15
A47 Tuddenham To Easton - Commercial Cleaning,Galliford Try Infrastructure Limited,Early Engagement,Open,East Of England,2024-05-22 00:00:00,Publication date 15 May 2024,
A59 Corridor Improvements,Sefton Council,Opportunity,Open,England,2024-06-17 12:00:00,  £2000000 to £3500000,2024-05-15
Gb-York: Customer Relationship Management (Crm) Services Itt,York St John University,Opportunity,Open,Yorkshire And The Humber,2024-05-29 15:00:00,  £25000 to £50000,2024-05-15
Gb-York: Customer Relationship Management (Crm) Services Itt,York St John University,Opportunity,Open,Yorkshire And The Humber,2024-05-29 15:00:00,  £25000 to £50000,
"Supply & Distribution Of Ambient, Chilled And Frozen Products To Finham Park Multi Academy Trust",Finham Park Multi Academy Trust C/O Pelican Procurement Services,Opportunity,Open,West Midlands,2024-06-17 12:00:00,  £215032,2024-05-15
Appointment Of Museum & Exhibition Designers For The Re-Imagining Of Boathouse 6 Project,Nmrn Operations,Opportunity,Open,South East,2024-06-14 12:00:00,  £0,2024-05-15
Growth Hub Evaluation For Year 1 And Year 2/3,Cornwall Development Company Ltd,Opportunity,Open,South West,2024-05-28 17:00:00,  £60000 to £75000,
Airport Tractor Shed Refurbishment Works,Council Of The Isles Of Scilly,Opportunity,Open,Tr210Na,2024-06-14 16:00:00,  £50000,2024-05-15
"Leasing, Installation, Dismantling And Storage Of Christmas Illuminations In Kirklees",Kirklees Council,Opportunity,Open,Yorkshire And The Humber,2024-06-14 13:00:00,  £340000,2024-05-15
The Royal Parks Landscape Construction Works Framework 2024-27/29,The Royal Parks Ltd,Opportunity,Open,London,2024-05-31 00:00:00,  £30000000,2024-05-15
Supporting Vulnerable Adults Dpv: Category 1 Supported Living (Round 2,London Borough Of Newham,Opportunity,Open,E16 2Qu,2024-06-05 12:00:00,  £266777101,2024-05-15
Nhsr_110B Academic Partner,Nhs Resolution,Future Opportunity,Open,E14 4Pu,,  £171660.60,2024-05-15
Short Breaks Sports & Leisure Club,Telford And Wrekin Council,Opportunity,Open,Tf3 4Ja,2024-06-13 12:00:00,  £0,
Hap Roofing And Ventilation,Harris Federation,Opportunity,Open,Se155Dz,2024-06-07 12:00:00,  £180000,2024-05-15
Utmc Support For Spruce Developing Bus Priority Strategies,Leeds City Council,Opportunity,Open,Yorkshire And The Humber,2024-06-05 12:00:00,  £45000 to £90000,2024-05-15
Gb-St Albans: Fardell Court Main Roof Replacement,Hightown  Housing Association Ltd,Opportunity,Open,East Of England,2024-06-17 12:00:00,  £100000 to £500000,2024-05-15
Gb-York: Data Interoperability Layer Services Itt,York St John University,Opportunity,Open,Yorkshire And The Humber,2024-05-28 15:00:00,  £25000 to £50000,2024-05-15
Hcc May 2024 - The Provision Of Multi Supplier Framework For Property Works 2024 - 2028,Hertfordshire County Council - Resources,Opportunity,Open,Sg13 8De,2024-06-26 12:00:00,  £121200000,2024-05-15
Contract For Traffic Data Collection For Durham County Council,Durham County Council,Opportunity,Open,England,2024-06-04 12:00:00,  £100000,2024-05-15
Home To School Transport - Hurworth School,Durham County Council,Opportunity,Open,England,2024-06-12 23:59:00,  £500000,2024-05-15
Invitation To Tender For The Provision Of A Rough Sleeper Street Outreach Service,Huntingdonshire District Council,Opportunity,Open,Pe29 3Tn,2024-05-24 12:00:00,  £100000 to £130000,
Framework Agreement For Hybrid Mail And Annual Billing,Staffordshire County Council,Opportunity,Open,West Midlands,2024-06-14 12:00:00,  £900000,2024-05-15
Oracle Applications Services,Liverpool John Moores University,Opportunity,Open,L2 2Qp,2024-06-17 12:00:00,  £1,2024-05-15
Appointment Of Museum & Exhibition Designers For The Re-Imagining Of Boathouse 6 Project,The National Museum Of The Royal Navy,Opportunity,Open,Po1 3Nh,2024-06-14 12:00:00,  £425000 to £525000,2024-05-15
Independent Specialist Provision For Children And Young People With Special Educational Needs And Disabilities (Send) - Ca&Fs - Csc/2023/687*,Stoke-On-Trent City Council,Opportunity,Open,England,2024-06-14 12:00:00,  £76000000,2024-05-15
Oracle Applications Partner,Liverpool John Moores University,Opportunity,Open,L3 2Aj,2024-06-17 12:02:00,  £0,2024-05-15
"Research And Healthcare Resources (""Rahr"") For Technology Outcomes Framework Agreement",Genomics England,Opportunity,Open,Any Region,2024-06-14 10:00:00,  £50000000,2024-05-15
Provision Of Dog Kennel Services,Birmingham City Council,Opportunity,Open,B4 7Wb,2024-06-17 12:00:00,  £0,2024-05-15
Marlow Education Trust ~ Cleaning Tender,Marlow Education Trust,Opportunity,Open,South East,2024-06-21 12:00:00,  £890000,2024-05-15
Ca13987 - Market Engagement - Specialist Fetal Medicine Scanning,Mse Group,Early Engagement,Open,Ss2 6Ge,2024-08-15 00:00:00,Publication date 15 May 2024,
Sps 2684 - Scaffolding Services,Royal Borough Of Greenwich,Opportunity,Open,England,2024-06-20 12:00:00,  £4200000,2024-05-15
Stonewater - Compliance Audit Services,Stonewater Limited,Opportunity,Open,Any Region,2024-06-14 12:00:00,  £600000,2024-05-15
"Pr2224 - Provision Of Training For Active Inclusion, Disability And Neurodiversity In The Workplace",Parliamentary And Health Service Ombudsman,Opportunity,Open,England,2024-06-03 23:59:00,  £60000,2024-05-15
Uk Satellite Based Augmentation System Precise Point Positioning (Sbas Ppp) Early Market Engagement,Dsit,Early Engagement,Open,Any Region,2024-06-18 00:00:00,Publication date  3 May 2024 last edited 15 May 2024,
Supply And Delivery Of Refuse And Recycling Sacks,London Borough Of Hillingdon,Opportunity,Open,Ub8 1Uw,2024-06-18 17:00:00,  £2290000,2024-05-15
Keele University Accommodation Blocks  Windows Replacement,Keele University,Opportunity,Open,St5 5Bg,2024-06-07 11:59:00,  £0.01 to £2000000,2024-05-15
"Supply, Install And Maintain Digital 48 Sheet Screens And Sell Advertising",Telford And Wrekin Council,Opportunity,Open,Tf3 4Ja,2024-06-07 17:00:00,  £0,2024-05-15
"Specialist Deafblind Assessor Training, Level 3 And Diploma In Deafblindness, Duties And Compliance For Senior Leaders And Practitioners -Level 5",Cornwall Council,Opportunity,Open,England,2024-05-29 12:00:00,  £49999,2024-05-15
Roadside Repair And Recovery Pin,Ministry Of Defence,Early Engagement,Open,Any Region,2024-05-22 00:00:00,Publication date 15 May 2024,
Provision Of Barnet Housing Needs Assessment,London Borough Of Barnet,Opportunity,Open,London,2024-05-30 12:00:00,  £45000,2024-05-15
Habinteg Managed Service Provider Procurement,Bip Solutions Limited,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2024-06-17 12:00:00,  £300000,2024-05-15
Re-Roofing Works At Christ Church Primary School,Eu Supply Limited,Opportunity,Open,Yorkshire And The Humber,2024-05-28 12:00:00,  £375000,
Nkdc - The Provision Of Land And Property Valuation Service,North Kesteven District Council,Future Opportunity,Open,United Kingdom,,  £50000,2024-05-15
Tender For The Provision Of Pmva Breakaway Skills Training,University Of West London,Opportunity,Open,London,2024-06-10 10:00:00,  £100000,2024-05-15
Amnv 022 - Provision Of Home Insulation Measures As Part Of A Home Upgrade Grant Phase 2,Shropshire Council,Opportunity,Open,West Midlands,2024-06-14 12:00:00,  £4000000,2024-05-15
Ampp265 - Hot And Cold Water Replacement Works - Howley Grange Primary School,Dudley Metropolitan Borough Council,Opportunity,Open,Dy1 1Hf,2024-06-07 12:00:00,  £120000 to £150000,2024-05-15
"Pr302024 Water Play Refurbishment Project, Exeter - Early Market Engagement",Exeter City Council,Early Engagement,Open,Ex1 3Ds,2024-06-05 00:00:00,Publication date 15 May 2024,
Home From Hospital Discharge Services For Northampton General Hospital Trust (Ngh),Northampton General Hospital Nhs Trust,Opportunity,Open,East Midlands,2024-06-17 12:00:00,  £480000,2024-05-15
Quarry Ice Cream & Hot Beverage Concession,Shrewsbury Town Council,Opportunity,Open,West Midlands,2024-09-27 13:00:00,  £100000,2024-05-15
Quarry Bouncy Castle & Trampoline Concession,Shrewsbury Town Council,Opportunity,Open,West Midlands,2024-09-27 13:00:00,  £2500,2024-05-15
Fleming Way Improvements Toilet Facilities,Swindon Borough Council,Opportunity,Open,England,2024-06-17 12:00:00,  £260000,2024-05-15
National Audit Of Dementia,Healthcare Quality Improvement Partnership (Hqip),Opportunity,Open,Any Region,2024-06-14 12:00:00,  £1053600,2024-05-15
Ca13904 - The Yes Trust Contract For Catiering Services At The Raise Academy,Youth Engagement Schools,Opportunity,Open,Cw12 1Dy,2024-05-24 13:00:00,  £0,
Provider Event - North Northamptonshire Council - Public Health - Children And Young Peoples Services,North Northamptonshire Council,Early Engagement,Open,East Midlands,2024-06-05 00:00:00,Publication date 14 May 2024 last edited 15 May 2024,
708422450 - Provision Of Underwater Engineering Services,Ministry Of Defence,Early Engagement,Open,Any Region,2024-05-31 00:00:00,Publication date 15 May 2024,
24019 Recap Dry Mixed Recyclate Processing,"Cambridge City Council, East Cambridgeshire District Council, Fenland District Council, Huntingdonshire District Council, Peterborough City Council, And South Cambridgeshire District Council",Opportunity,Open,Pe28 4Ye,2024-06-04 12:00:00,  £111300000,
Ridge Primary School - Boiler Replacement Works,Dudley Metropolitan Borough Council,Opportunity,Open,Dy1 1Hf,2024-06-14 12:00:00,  £100000 to £200000,
P0439_2024 - Framework Agreement For The Provision Of Enforcement Agency Services For Unauthorised Encampments,Birmingham City Council,Opportunity,Open,B4 7Wb,2024-06-17 12:00:00,  £0,2024-05-15
Townhill Junior School Roofing Works,Southampton City Council,Opportunity,Open,South East,2024-06-03 14:00:00,  £600000,
P1111 - Water Bill Validation Services,Birmingham City Council,Opportunity,Open,B4 7Wb,2024-05-23 12:00:00,  £0,2024-05-15
"Supply, Fit, Repairs And Maintenance Of Fire Doors",West Lancashire Borough Council,Opportunity,Open,England,2024-06-12 16:00:00,  £0,2024-05-15
24020 Recap Dry Mixed Recyclate Bulking,"Cambridge City Council, East Cambridgeshire District Council, Fenland District Council, Huntingdonshire District Council, Peterborough City Council, And South Cambridgeshire District Council",Opportunity,Open,Pe28 4Ye,2024-06-04 12:00:00,  £7500000,
Ca14085 - Waltham Forest College Tender For Replacement Led Lighting,Waltham Forest College,Opportunity,Open,E17 4Jb,2024-06-07 12:00:00,  £70000,2024-05-15
Ca14109 - Waltham Forest College Tender For Construction Of An Eco Hub And Passivhausme Training School,Waltham Forest College,Opportunity,Open,E17 4Jb,2024-06-17 12:00:00,  £570000,2024-05-15
Site Specific Risk Information (Ssri) System Software Solution,West Midlands Fire & Rescue,Early Engagement,Open,B7 4Hw,2024-08-15 00:00:00,Publication date 21 March 2024 last edited 15 May 2024,
Ca14115 - Bath & Wells Mat - Integrated Hr System & Managed Payroll Via Open Procedure,Bath And Wells Multi Academy Trust,Opportunity,Open,Ba5 2Ug,2024-06-18 10:00:00,  £0,2024-05-15
Supply Of Fire Safety Products And Associated Services,Kent County Council (T/A Procurement Services),Opportunity,Open,Any Region,2024-06-28 14:00:00,  £500000000,2024-05-15
School Transport - Queen Elizabeth 6Th Form College,Durham County Council,Opportunity,Open,England,2024-06-12 23:59:00,  £500000,
External Trust And School Communications For Ormiston Academies Trust,Ormiston Academies Trust (Oat),Opportunity,Open,B3 1Sf,2024-06-21 12:00:00,  £500000 to £765000,2024-05-15
Winter Gritting And Snow Clearance,Ecl The Care & Wellbeing Company,Opportunity,Open,East Of England,2024-06-17 12:00:00,  £15000,2024-05-15
Droskyn Toilets Perranporth - Refurbishment And Alterations,Perranzabuloe Parish Council,Opportunity,Open,Tr6 0Dr,2024-06-25 17:00:00,  £130000,
Universal Support Fidelity Assurance,Department For Work And Pensions,Early Engagement,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West, Wales",2024-06-04 00:00:00,Publication date 15 May 2024,
Supply & Install Of Doors & Windows (Single Properties),B3Living,Opportunity,Open,East Of England,2024-06-28 17:00:00,  £500000,2024-05-15
The Provision Of Security Guarding Services To The British Embassy In Nigeria,Foreign Commonwealth And Development Office,Opportunity,Open,Any Region,2024-06-19 17:00:00,  £4020000,2024-05-15
"Tender For Capital Works At Brinton Park, Kidderminster",Wyre Forest District Council,Opportunity,Open,West Midlands,2024-07-08 11:00:00,  £0,2024-05-15
Keyholding & Alarm Response,Ecl The Care & Wellbeing Company,Opportunity,Open,"East Of England, South West",2024-06-17 12:00:00,  £15000,2024-05-15
Youth Practitioners' Leadership & Development Programme 2 - Evaluation Partner,Mayor'S Office For Police And Crime,Opportunity,Open,London,2024-06-14 12:00:00,  £0 to £105000,2024-05-15
Pb2023-01430 - Residential Care Placement,Darlington Borough Council,Opportunity,Open,North East,2024-05-24 12:00:00,  £0,2024-05-15
"E-Invitation To Tender (E-Itt) For The Provision Of: Upgrading Course Park Crescent, Laurel Gardens And Elsanta Crescent Play Areas-Fareham Borough",Fareham Borough Council,Opportunity,Open,Po16 7Az,2024-05-31 12:00:00,  £95000,
Fire Risk Assessments,Ecl The Care & Wellbeing Company,Opportunity,Open,"East Of England, South West",2024-06-17 12:00:00,  £15000,2024-05-15
Irm23/7635 The Supply Of Infrastructure Spares,Ministry Of Defence,Opportunity,Open,Tf2 8Jt,2024-06-12 16:00:00,  £350000,2024-05-15
Ra341795 - Adjustable Rom Knee Brace,Shropshire Healthcare Procurement Service,Opportunity,Open,Sy3 8Xq,2024-05-29 12:00:00,  £0,2024-05-15
1 X Triple Rotary Mower,Shrewsbury Town Council,Opportunity,Open,West Midlands,2024-06-07 13:00:00,  £50000,2024-05-15
Invitation To Quote For Stand Build Restaurant And Bar Hong Kong,Department For Environment Food & Rural Affairs,Opportunity,Open,Hong Kong,2024-06-21 12:00:00,  £30000 to £35000,
Sub-Contract For Legal Services,Dac Beachcroft Llp,Opportunity,Open,England,2024-05-31 17:00:00,  £1,2024-05-15
Ypo 001241 - Workwear And Ppe,Ypo,Opportunity,Open,United Kingdom,2024-06-17 14:00:00,  £6000000 to £7000000,2024-05-15
Multiport Nai Detector System And Hpge Well Detector,Ukhsa,Opportunity,Open,E14 4Pu,2024-06-17 21:45:00,  £350000,2024-05-15
Brigstock Latham Primary School - Replacement Of Flat Roof,North Northamptonshire Council,Opportunity,Open,Nn14 3Hd,2024-06-04 12:00:00,  £0,
Provision For Targeted Stop Smoking Services,Hartlepool Borough Council,Opportunity,Open,Ts24 8Ay,2024-06-28 14:00:00,  £0,
"Tremenheere Sculpture Gardens Wooden Information Cabin, Cornwall",Tremenheere Trading Limited,Opportunity,Open,South West,2024-06-07 17:00:00,  £30000 to £40000,2024-05-15
Provision Of Subcontract Study Programmes For 24/25,Capital City College Group,Opportunity,Open,Wc1X 8Ra,2024-06-14 12:00:00,  £0 to £500000,2024-05-14
Har6010 St George'S Leisure Centre - Hard Strip Demolition,Tower Hamlets,Opportunity,Open,E1W 3Bp,2024-06-07 17:00:00,  £500000,2024-05-14
Ca13898 - Hruc Provision Of Security Soltuion,Hcuc - Uxbridge College And Harrow College,Opportunity,Open,Ub8 1Nq,2024-05-31 13:00:00,  £0,
Delivery Of Media Literacy Activities For Rhondda Cynon Taf,Ofcom,Opportunity,Open,Se1 9Ha,2024-06-14 12:00:00,  £250000 to £300000,2024-05-14
Media Planning And Buying Services,Northern Trains Limited,Opportunity,Open,Any Region,2024-06-14 12:00:00,  £16480000,
Minibus Routes Various Send Bus Contract,London Borough Of Croydon,Opportunity,Open,Cr0 1Ea,2024-06-18 12:00:00,  £0,2024-05-14
Tyres And Tyre Related Services 2024,London Borough Of Hackney,Opportunity,Open,England,2024-06-13 12:00:00,  £1400000,2024-05-14
Appointment For Design And Build Works On Royal Navy Submarine Museum Memorial Wall,Nmrn Operations,Opportunity,Open,South East,2024-06-18 12:00:00,  £0,2024-05-14
Nw2024-63 Community Pharmacy Integration,Nhs Norfolk And Waveney Icb,Opportunity,Open,Nr1 2Dh,2024-06-07 17:00:00,  £60000,2024-05-14
Professional Role-Playing Organisation,Ingeus,Opportunity,Open,"East Of England, London, South East",2024-05-22 17:00:00,  £0,
Esph Cs Wdc Hr And Payroll System (Esph593 Tt),Wealden District Council,Opportunity,Open,Bn27 2Ax,2024-06-20 14:00:00,  £0 to £675000,2024-05-14
For The Provision Of  The Provision Of A Green Recovery Programme - Biodiversity,Huntingdonshire District Council,Opportunity,Open,Pe29 3Tn,2024-06-07 12:00:00,  £130000 to £150000,2024-05-14
Led Lighting Installation,Capital City College Group,Opportunity,Open,Wc1X 8Ra,2024-06-13 12:00:00,  £100000 to £5000000,2024-05-14
Market Consultation - Housing Management It Transformation - Consultancy,Portsmouth City Council,Opportunity,Open,Po1 2Bj,2024-05-24 18:00:00,  £0,
Provision Of Insurance And Related Services To Wandle Housing Association,Wandle Housing Association,Opportunity,Open,Any Region,2024-06-13 17:00:00,  £11363000,2024-05-14
Housing Support Services,Cornwall Council,Opportunity,Open,England,2024-06-24 12:00:00,  £75000000,2024-05-14
Radiological Surveillance Programme For Ospar,Desnz,Future Opportunity,Open,Sw1A 2Eg,,  £220000,2024-05-14
Procurement Of A Sustainable Travel Strategy By Lancaster City Council To Inform The Development Strategy For The Lancaster District Local Plan Review,Lancaster City Council,Opportunity,Open,North West,2024-05-31 12:00:00,  £1,
Kelsey Lakes Desilting Project,London Borough Of Bromley,Opportunity,Open,England,2024-06-14 12:00:00,  £1857000,2024-05-14
Business Events Development And  Marketing - Cancelled,West Midlands Growth Company Ltd E-Tendering,Opportunity,Open,B4 6At,2024-05-24 12:00:00,  £0 to £100000,
Bury Ole Renewal Phase 1,Transport For Greater Manchester,Opportunity,Open,England,2024-06-26 12:00:00,  £2000000,2024-05-14
Anti Fraud Services,Nhs Resolution,Opportunity,Open,Ls1 4Ap,2024-05-24 12:00:00,  £106000,2024-05-14
2023-683 Interpreting Lidar Scanning Data To Assess Biomass & Carbon Stocks.,Ahdb,Opportunity,Open,Cv3 4Pe,2024-06-14 12:00:00,  £0,2024-05-14
Td2138 - Council House Lift Refurbishment,Derby City Council,Opportunity,Open,East Midlands,2024-06-24 12:00:00,  £208000,2024-05-14
"The Supply Of Ultra Low Temperature (Ult) Freezers Service, Maintenance And Repair",University Of York,Opportunity,Open,Yo10 5Dd,2024-06-21 12:00:00,  £0 to £80000,2024-05-14
Pan2755 - Cleaning Supplies And Consumables,Leicester City Council,Opportunity,Open,England,2024-06-13 12:00:00,  £650000,2024-05-14
Construction Partner For Workington Workshop,North West Ambulance Service,Opportunity,Open,Bl1 5Dd,2024-06-07 17:00:00,  £0 to £0.01,2024-05-14
Enpa0013-24 Provision Of Landscape Recovery Farm Conservation Advisory Service,Exmoor National Park Authority,Opportunity,Open,England,2024-06-05 12:00:00,  £110000,2024-05-14
Supply Of Mains Water And Sewerage Services,English Heritage-Procurement,Opportunity,Open,Sn2 2Eh,2024-06-14 12:00:00,  £625000 to £840000,2024-05-14
Nhg Electronic Security Framework,Notting Hill Genesis,Opportunity,Open,Any Region,2024-08-16 00:00:00,  £180000000,2024-05-14
Market Test For A Supported Lodgings Service For Young People,St.Helens Council,Future Opportunity,Open,England,,  £2625000,2024-05-14
Repair And Maintenance Of Passenger Lifts,Bournemouth Christchurch And Poole Council,Opportunity,Open,England,2024-06-21 14:00:00,  £300000 to £500000,2024-05-14
Demolition Works,Offshore Renewable Energy Catapult,Opportunity,Open,Ne24 1Lz,2024-06-14 12:00:00,  £200000,2024-05-14
Adoption Support Attachment Therapy,Cumberland Council,Opportunity,Open,England,2024-06-11 11:00:00,  £112500 to £190000,
Pb2023-01429 - Respite Care Package To Be Carried Out In The Home For Adult - Id405332,Darlington Borough Council,Opportunity,Open,North East,2024-05-24 12:00:00,  £0,2024-05-14
Adoption Support - Family Therapy,Cumberland Council,Opportunity,Open,England,2024-06-11 11:00:00,  £110625 to £196000,2024-05-14
Ukhsa_Scientific- Provision Of Viral Antigens,Uk Health Security Agency,Opportunity,Open,E14 4Pu,2024-06-14 12:00:00,  £240000,2024-05-14
Bsip Bus Service Enhancements - So92 - Hdg/2024/716,Stoke-On-Trent City Council,Opportunity,Open,England,2024-06-18 12:00:00,  £0,2024-05-14
"Ann'S Pasties, Helston Cornwall- Solar Panel System",Angegyn Ltd,Opportunity,Open,South West,2024-06-10 17:00:00,  £40000 to £50000,2024-05-14
Mncea South Cornwall Inshore Dive Survey,Natural England,Opportunity,Open,South West,2024-05-27 17:00:00,  £4096 to £10240,2024-05-14
Quotation For Secure It Equipment Disposal And Ethical Recycling,Sunderland City Council,Opportunity,Open,England,2024-05-31 12:00:00,  £30000,2024-05-14
Gas And Lng Analysis Subscription Service,Desnz,Early Engagement,Open,Any Region,2024-05-23 00:00:00,Publication date 14 May 2024,
Ca14084 - Waltham Forest College Tender For Replacement Lift,Waltham Forest College,Opportunity,Open,E17 4Jb,2024-05-31 12:00:00,  £75000,2024-05-14
"Ddpt020 Footpath Resurfacing, Hall Leys Park, Matlock",Derbyshire Dales District Council,Opportunity,Open,England,2024-06-19 12:00:00,  £300000,2024-05-14
Cf Advanced Wound Care 2025,Nhs Supply Chain,Early Engagement,Open,Any Region,2024-12-11 00:00:00,Publication date 12 December 2023 last edited 14 May 2024,
North Area Council Youth Resilience Fund 2024 To 2026 Competitive Grant,Barnsley Metropolitan Borough Council,Opportunity,Open,Yorkshire And The Humber,2024-06-14 16:00:00,  £200000,2024-05-14
Ca14103 - Cheshire College South & West - Emergency Lighting Upgrade Phase 3 - Itt,Cheshire College South And West,Opportunity,Open,Ch65 7Bf,2024-06-05 17:00:00,  £0,2024-05-14
Cbc-1682-Fa-Ls Disabled Facilities Grant (Dfg) Works,Central Bedfordshire Council,Opportunity,Open,Sg17 5Tq,2024-06-17 09:00:00,  £0,2024-05-14
Nrc Augmented Reality (Ar) And Virtual Reality (Vr),Nottingham University Hospital,Early Engagement,Open,Ng5 1Pb,2024-06-12 00:00:00,Publication date 14 May 2024,
Gb-Rochford: Cash Collection Service,Rochford District Council,Opportunity,Open,East Of England,2024-06-17 12:00:00,  £50000 to £100000,2024-05-14
City Of London Energy Supply Contract 2025 - Soft Market Testing,City Of London Corporation,Early Engagement,Open,London,2024-06-03 00:00:00,Publication date 14 May 2024,
Cawsand Bridge Demolition And Construction,Corserv Limited,Opportunity,Open,England,2024-06-06 14:00:00,  £250000,
Lightning Protection & Mansafes Servicing,Rooftop Housing Group Limited,Opportunity,Open,Wr11 4Yd,2024-05-23 12:00:00,  £0,
Fire Door Replacement Contract,Thanet District Council,Opportunity,Open,England,2024-06-10 14:00:00,  £3900000,
Internal Works Ref : L160 / 232551He,London Borough Of Ealing Council,Opportunity,Open,W5 2Hl,2024-06-18 12:00:00,  £66554663,2024-05-14
Eem0071 Vacant Property Services Framework,Efficiency East Midlands Limited,Early Engagement,Open,"England, Wales",2024-07-01 00:00:00,Publication date 14 May 2024,
Stockport Council Data Analysis Capability,Stockport Metropolitan Borough Council,Opportunity,Open,United Kingdom,2024-05-31 16:00:00,  £40000,2024-05-14
Market Engagement Opportunity: Children'S Domiciliary Care In Bedford Borough,Bedford Borough Council,Early Engagement,Open,Mk42 9Ap,2024-05-28 00:00:00,Publication date 14 May 2024,
"Contract For The Provision Of Consultancy Services, Neighbourhoods & Environment Target Operating Model",London Borough Of Waltham Forest,Opportunity,Open,United Kingdom,2024-05-30 17:00:00,  £80000,
Hexapod Hose,University Of Bristol,Opportunity,Open,Bs40 5Du,2024-06-07 13:00:00,  £20000,
Underpinning And Structural Repairs,Swindon Borough Council,Opportunity,Open,South West,2024-06-10 15:00:00,  £80000,2024-05-14
Truro Northern Access Road (Nar) Soft Landscaping,Corserv Limited,Opportunity,Open,England,2024-05-31 14:00:00,  £1000000,2024-05-14
Pl0283 - Shrub Hill Property Advisor,Worcestershire County Council,Opportunity,Open,Wr5 2Np,2024-05-23 12:00:00,  £0,
Essex County Council - Supported Living Framework Engagement Session,Essex County Council,Early Engagement,Open,"East Of England, South East",2024-05-31 00:00:00,Publication date 14 May 2024,
Badc-1375-S-Ope Hr Systems,Welland Procurement,Early Engagement,Open,England,2024-08-14 00:00:00,Publication date 14 May 2024,
Listed Buildings Structural And Civil Engineer - Newtown Works,Ashford International Development Company Limited,Opportunity,Open,South East,2024-06-11 12:00:00,  £50000,2024-05-14
Listed Buildings Mep Engineer - Newtown Works,Ashford International Development Company Limited,Opportunity,Open,South East,2024-06-11 12:00:00,  £25000,2024-05-14
Listed Buildings Architect - Newtown Works,Ashford International Development Company Limited,Opportunity,Open,South East,2024-06-11 12:00:00,  £80000,2024-05-14
