Tender,Company,Procurement,Notice,Location,Closing,Value,Date
UTMC Support for SPRUCE developing bus priority strategies,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   5 June 2024, 12pm","  £45,000 to £90,000",  15 May 2024
GB-St Albans: Fardell Court Main Roof Replacement,Hightown  Housing Association Ltd,  Opportunity,  Open,  East of England,"  17 June 2024, 12pm","  £100,000 to £500,000",  15 May 2024
GB-York: Data Interoperability Layer Services ITT,York St John University,  Opportunity,  Open,  Yorkshire and the Humber,"  28 May 2024,  3pm","  £25,000 to £50,000",  15 May 2024
HCC May 2024 - The Provision of Multi Supplier Framework for Property Works 2024 - 2028,Hertfordshire County Council - Resources,  Opportunity,  Open,  SG13 8DE,"  26 June 2024, 12pm","  £121,200,000",  15 May 2024
Contract for Traffic Data Collection for Durham County Council,Durham County Council,  Opportunity,  Open,  England,"   4 June 2024, 12pm","  £100,000",  15 May 2024
Home to School Transport - Hurworth School,Durham County Council,  Opportunity,  Open,  England,"  12 June 2024, 11:59pm","  £500,000",  15 May 2024
Invitation to Tender For the provision of a Rough Sleeper Street Outreach Service,Huntingdonshire District Council,  Opportunity,  Open,  PE29 3TN,"  24 May 2024, 12pm","  £100,000 to £130,000","  18 April 2024, last edited 15 May 2024"
Framework Agreement for Hybrid Mail and Annual Billing,Staffordshire County Council,  Opportunity,  Open,  West Midlands,"  14 June 2024, 12pm","  £900,000",  15 May 2024
Oracle Applications Services,Liverpool John Moores University,  Opportunity,  Open,  L2 2QP,"  17 June 2024, 12pm",  £1,  15 May 2024
Appointment of Museum & Exhibition Designers for the Re-Imagining of Boathouse 6 Project,THE NATIONAL MUSEUM OF THE ROYAL NAVY,  Opportunity,  Open,  PO1 3NH,"  14 June 2024, 12pm","  £425,000 to £525,000",  15 May 2024
Independent Specialist Provision for Children and Young People with Special Educational Needs and Disabilities (SEND) - CA&FS - CSC/2023/687*,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  14 June 2024, 12pm","  £76,000,000",  15 May 2024
Oracle Applications Partner,Liverpool John Moores University,  Opportunity,  Open,  L3 2AJ,"  17 June 2024, 12:02pm",  £0,  15 May 2024
"Research and Healthcare Resources (""RAHR"") for Technology Outcomes Framework Agreement",Genomics England,  Opportunity,  Open,  Any region,"  14 June 2024, 10am","  £50,000,000",  15 May 2024
Provision of Dog Kennel Services,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  17 June 2024, 12pm",  £0,  15 May 2024
Marlow Education Trust ~ Cleaning Tender,Marlow Education Trust,  Opportunity,  Open,  South East,"  21 June 2024, 12pm","  £890,000",  15 May 2024
CA13987 - Market engagement - Specialist Fetal Medicine Scanning,MSE Group,  Early engagement,  Open,  SS2 6GE,  15 August 2024,Publication date 15 May 2024,None
SPS 2684 - Scaffolding Services,Royal Borough of Greenwich,  Opportunity,  Open,  England,"  20 June 2024, 12pm","  £4,200,000",  15 May 2024
Stonewater - Compliance Audit Services,Stonewater Limited,  Opportunity,  Open,  Any region,"  14 June 2024, 12pm","  £600,000",  15 May 2024
"PR2224 - Provision of Training for Active Inclusion, Disability and Neurodiversity in the Workplace",Parliamentary and Health Service Ombudsman,  Opportunity,  Open,  England,"   3 June 2024, 11:59pm","  £60,000",  15 May 2024
UK Satellite Based Augmentation System Precise Point Positioning (SBAS PPP) Early Market Engagement,DSIT,  Early engagement,  Open,  Any region,  18 June 2024,"Publication date  3 May 2024, last edited 15 May 2024",None
Supply and Delivery of Refuse and Recycling Sacks,London Borough of Hillingdon,  Opportunity,  Open,  UB8 1UW,"  18 June 2024,  5pm","  £2,290,000",  15 May 2024
Keele University Accommodation Blocks  Windows Replacement,Keele University,  Opportunity,  Open,  ST5 5BG,"   7 June 2024, 11:59am","  £0.01 to £2,000,000",  15 May 2024
"Supply, Install and Maintain Digital 48 Sheet Screens and Sell Advertising",Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JA,"   7 June 2024,  5pm",  £0,  15 May 2024
"Specialist Deafblind Assessor Training, Level 3 and Diploma in Deafblindness, Duties and Compliance for Senior Leaders and Practitioners -Level 5",Cornwall Council,  Opportunity,  Open,  England,"  29 May 2024, 12pm","  £49,999",  15 May 2024
Roadside Repair and Recovery PIN,Ministry of Defence,  Early engagement,  Open,  Any region,  22 May 2024,Publication date 15 May 2024,None
Provision of Barnet Housing Needs Assessment,London Borough of Barnet,  Opportunity,  Open,  London,"  30 May 2024, 12pm","  £45,000",  15 May 2024
Habinteg Managed Service Provider Procurement,BIP SOLUTIONS LIMITED,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","  17 June 2024, 12pm","  £300,000",  15 May 2024
Re-Roofing Works at Christ Church Primary School,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  28 May 2024, 12pm","  £375,000","   3 May 2024, last edited 15 May 2024"
NKDC - The Provision of Land and Property Valuation Service,North Kesteven District Council,  Future opportunity,  Open,  United Kingdom,Approach to market date 15 August 2028,"  £50,000",  15 May 2024
Tender for the provision of PMVA Breakaway Skills Training,University of West London,  Opportunity,  Open,  London,"  10 June 2024, 10am","  £100,000",  15 May 2024
AMNV 022 - Provision of Home Insulation Measures as part of a Home Upgrade Grant phase 2,Shropshire Council,  Opportunity,  Open,  West Midlands,"  14 June 2024, 12pm","  £4,000,000",  15 May 2024
AMPP265 - Hot and Cold Water Replacement Works - Howley Grange Primary School,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"   7 June 2024, 12pm","  £120,000 to £150,000",  15 May 2024
"PR302024 Water Play Refurbishment Project, Exeter - Early Market Engagement",Exeter City Council,  Early engagement,  Open,  EX1 3DS,   5 June 2024,Publication date 15 May 2024,None
Home from Hospital Discharge Services for Northampton General Hospital Trust (NGH),Northampton General Hospital NHS Trust,  Opportunity,  Open,  East Midlands,"  17 June 2024, 12pm","  £480,000",  15 May 2024
Quarry Ice Cream & Hot Beverage Concession,Shrewsbury Town Council,  Opportunity,  Open,  West Midlands,"  27 September 2024,  1pm","  £100,000",  15 May 2024
Quarry Bouncy Castle & Trampoline Concession,Shrewsbury Town Council,  Opportunity,  Open,  West Midlands,"  27 September 2024,  1pm","  £2,500",  15 May 2024
Fleming Way Improvements Toilet Facilities,Swindon Borough Council,  Opportunity,  Open,  England,"  17 June 2024, 12pm","  £260,000",  15 May 2024
National Audit of Dementia,Healthcare Quality Improvement Partnership (HQIP),  Opportunity,  Open,  Any region,"  14 June 2024, 12pm","  £1,053,600",  15 May 2024
CA13904 - The YES Trust Contract for Catiering Services at the Raise Academy,Youth Engagement Schools,  Opportunity,  Open,  CW12 1DY,"  24 May 2024,  1pm",  £0,"  12 April 2024, last edited 15 May 2024"
Provider Event - North Northamptonshire Council - Public Health - Children and Young Peoples Services,North Northamptonshire Council,  Early engagement,  Open,  East Midlands,   5 June 2024,"Publication date 14 May 2024, last edited 15 May 2024",None
708422450 - Provision of Underwater Engineering Services,Ministry of Defence,  Early engagement,  Open,  Any region,  31 May 2024,Publication date 15 May 2024,None
24019 RECAP Dry Mixed Recyclate Processing,"Cambridge City Council, East Cambridgeshire District Council, Fenland District Council, Huntingdonshire District Council, Peterborough City Council, and South Cambridgeshire District Council",  Opportunity,  Open,  PE28 4YE,"   4 June 2024, 12pm","  £111,300,000","  26 April 2024, last edited 15 May 2024"
Ridge Primary School - Boiler Replacement works,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  14 June 2024, 12pm","  £100,000 to £200,000","  15 May 2024, last edited 15 May 2024"
P0439_2024 - Framework Agreement for the Provision of Enforcement Agency Services for Unauthorised Encampments,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  17 June 2024, 12pm",  £0,  15 May 2024
Townhill Junior School Roofing Works,Southampton City Council,  Opportunity,  Open,  South East,"   3 June 2024,  2pm","  £600,000","  19 April 2024, last edited 15 May 2024"
P1111 - Water bill validation services,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  23 May 2024, 12pm",  £0,  15 May 2024
"Supply, Fit, Repairs and Maintenance of Fire doors",West Lancashire Borough Council,  Opportunity,  Open,  England,"  12 June 2024,  4pm",  £0,  15 May 2024
24020 RECAP Dry Mixed Recyclate Bulking,"Cambridge City Council, East Cambridgeshire District Council, Fenland District Council, Huntingdonshire District Council, Peterborough City Council, and South Cambridgeshire District Council",  Opportunity,  Open,  PE28 4YE,"   4 June 2024, 12pm","  £7,500,000","  26 April 2024, last edited 15 May 2024"
CA14085 - Waltham Forest College Tender for Replacement LED Lighting,Waltham Forest College,  Opportunity,  Open,  E17 4JB,"   7 June 2024, 12pm","  £70,000",  15 May 2024
CA14109 - Waltham Forest College Tender for Construction of an Eco Hub and PassivhausMe Training School,Waltham Forest College,  Opportunity,  Open,  E17 4JB,"  17 June 2024, 12pm","  £570,000",  15 May 2024
Site Specific Risk Information (SSRI) System Software Solution,West Midlands Fire & Rescue,  Early engagement,  Open,  B7 4HW,  15 August 2024,"Publication date 21 March 2024, last edited 15 May 2024",None
CA14115 - Bath & Wells MAT - Integrated HR System & Managed Payroll via Open Procedure,Bath and Wells Multi Academy Trust,  Opportunity,  Open,  BA5 2UG,"  18 June 2024, 10am",  £0,  15 May 2024
Supply of Fire Safety Products and Associated Services,Kent County Council (T/A Procurement Services),  Opportunity,  Open,  Any region,"  28 June 2024,  2pm","  £500,000,000",  15 May 2024
School Transport - Queen Elizabeth 6th Form College,Durham County Council,  Opportunity,  Open,  England,"  12 June 2024, 11:59pm","  £500,000","  15 May 2024, last edited 15 May 2024"
External trust and school communications for Ormiston Academies Trust,Ormiston Academies Trust (OAT),  Opportunity,  Open,  B3 1SF,"  21 June 2024, 12pm","  £500,000 to £765,000",  15 May 2024
Winter Gritting and Snow Clearance,ECL The Care & Wellbeing Company,  Opportunity,  Open,  East of England,"  17 June 2024, 12pm","  £15,000",  15 May 2024
Droskyn Toilets Perranporth - Refurbishment and Alterations,Perranzabuloe Parish Council,  Opportunity,  Open,  TR6 0DR,"  25 June 2024,  5pm","  £130,000","  14 May 2024, last edited 15 May 2024"
Universal Support Fidelity Assurance,Department for Work and Pensions,  Early engagement,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",   4 June 2024,Publication date 15 May 2024,None
Supply & Install of Doors & Windows (Single Properties),B3Living,  Opportunity,  Open,  East of England,"  28 June 2024,  5pm","  £500,000",  15 May 2024
The Provision of Security Guarding Services to the British Embassy in Nigeria,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  19 June 2024,  5pm","  £4,020,000",  15 May 2024
"Tender for Capital works at Brinton Park, Kidderminster",Wyre Forest District Council,  Opportunity,  Open,  West Midlands,"   8 July 2024, 11am",  £0,  15 May 2024
Keyholding & Alarm Response,ECL The Care & Wellbeing Company,  Opportunity,  Open,"  East of England, South West","  17 June 2024, 12pm","  £15,000",  15 May 2024
Youth Practitioners' Leadership & Development Programme 2 - Evaluation Partner,MAYOR'S OFFICE FOR POLICE AND CRIME,  Opportunity,  Open,  London,"  14 June 2024, 12pm","  £0 to £105,000",  15 May 2024
PB2023-01430 - Residential Care Placement,Darlington Borough Council,  Opportunity,  Open,  North East,"  24 May 2024, 12pm",  £0,  15 May 2024
"e-Invitation to tender (e-ITT) for the provision of: Upgrading Course Park Crescent, Laurel Gardens and Elsanta Crescent play areas-Fareham Borough",Fareham Borough Council,  Opportunity,  Open,  PO16 7AZ,"  31 May 2024, 12pm","  £95,000","  23 April 2024, last edited 15 May 2024"
Fire Risk Assessments,ECL The Care & Wellbeing Company,  Opportunity,  Open,"  East of England, South West","  17 June 2024, 12pm","  £15,000",  15 May 2024
IRM23/7635 The Supply of Infrastructure Spares,Ministry of Defence,  Opportunity,  Open,  TF2 8JT,"  12 June 2024,  4pm","  £350,000",  15 May 2024
RA341795 - Adjustable ROM Knee Brace,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"  29 May 2024, 12pm",  £0,  15 May 2024
1 x Triple Rotary Mower,Shrewsbury Town Council,  Opportunity,  Open,  West Midlands,"   7 June 2024,  1pm","  £50,000",  15 May 2024
Invitation to Quote for Stand Build Restaurant and Bar Hong Kong,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,  Opportunity,  Open,  Hong Kong,"  21 June 2024, 12pm","  £30,000 to £35,000","   8 May 2024, last edited 15 May 2024"
Sub-Contract for Legal Services,DAC BEACHCROFT LLP,  Opportunity,  Open,  England,"  31 May 2024,  5pm",  £1,  15 May 2024
YPO 001241 - Workwear and PPE,YPO,  Opportunity,  Open,  United Kingdom,"  17 June 2024,  2pm","  £6,000,000 to £7,000,000",  15 May 2024
Multiport NaI detector system and HPGe Well Detector,UKHSA,  Opportunity,  Open,  E14 4PU,"  17 June 2024,  9:45pm","  £350,000",  15 May 2024
Brigstock Latham Primary School - Replacement of Flat Roof,North Northamptonshire Council,  Opportunity,  Open,  NN14 3HD,"   4 June 2024, 12pm",  £0,"   7 May 2024, last edited 15 May 2024"
PROVISION FOR TARGETED STOP SMOKING SERVICES,Hartlepool Borough Council,  Opportunity,  Open,  TS24 8AY,"  28 June 2024,  2pm",  £0,"   9 May 2024, last edited 15 May 2024"
"Tremenheere Sculpture Gardens Wooden Information Cabin, Cornwall",TREMENHEERE TRADING LIMITED,  Opportunity,  Open,  South West,"   7 June 2024,  5pm","  £30,000 to £40,000",  15 May 2024
Provision of subcontract study programmes for 24/25,Capital City College Group,  Opportunity,  Open,  WC1X 8RA,"  14 June 2024, 12pm","  £0 to £500,000",  14 May 2024
HAR6010 St George's Leisure Centre - Hard Strip Demolition,Tower Hamlets,  Opportunity,  Open,  E1W 3BP,"   7 June 2024,  5pm","  £500,000",  14 May 2024
CA13898 - HRUC PROVISION OF SECURITY SOLTUION,HCUC - Uxbridge College and Harrow College,  Opportunity,  Open,  UB8 1NQ,"  31 May 2024,  1pm",  £0,"  12 April 2024, last edited 14 May 2024"
Delivery of media literacy activities for Rhondda Cynon Taf,OFCOM,  Opportunity,  Open,  SE1 9HA,"  14 June 2024, 12pm","  £250,000 to £300,000",  14 May 2024
Media Planning and Buying Services,Northern Trains Limited,  Opportunity,  Open,  Any region,"  14 June 2024, 12pm","  £16,480,000","  14 May 2024, last edited 14 May 2024"
Minibus Routes Various SEND Bus Contract,London Borough of Croydon,  Opportunity,  Open,  CR0 1EA,"  18 June 2024, 12pm",  £0,  14 May 2024
Tyres and Tyre Related Services 2024,London Borough of Hackney,  Opportunity,  Open,  England,"  13 June 2024, 12pm","  £1,400,000",  14 May 2024
Appointment for Design and Build Works on Royal Navy Submarine Museum Memorial Wall,NMRN Operations,  Opportunity,  Open,  South East,"  18 June 2024, 12pm",  £0,  14 May 2024
NW2024-63 Community Pharmacy Integration,NHS Norfolk and Waveney ICB,  Opportunity,  Open,  nr1 2dh,"   7 June 2024,  5pm","  £60,000",  14 May 2024
Professional Role-playing Organisation,Ingeus,  Opportunity,  Open,"  East of England, London, South East","  22 May 2024,  5pm",  £0,"  14 May 2024, last edited 14 May 2024"
ESPH CS WDC HR and Payroll System (ESPH593 TT),Wealden District Council,  Opportunity,  Open,  BN27 2AX,"  20 June 2024,  2pm","  £0 to £675,000",  14 May 2024
For the provision of  The Provision of a Green Recovery Programme - Biodiversity,Huntingdonshire District Council,  Opportunity,  Open,  PE29 3TN,"   7 June 2024, 12pm","  £130,000 to £150,000",  14 May 2024
LED Lighting installation,Capital City College Group,  Opportunity,  Open,  WC1X 8RA,"  13 June 2024, 12pm","  £100,000 to £5,000,000",  14 May 2024
Market Consultation - Housing Management IT Transformation - Consultancy,Portsmouth City Council,  Opportunity,  Open,  PO1 2BJ,"  24 May 2024,  6pm",  £0,"  14 May 2024, last edited 14 May 2024"
Provision of Insurance and related services to Wandle Housing Association,Wandle Housing Association,  Opportunity,  Open,  Any region,"  13 June 2024,  5pm","  £11,363,000",  14 May 2024
Housing Support Services,Cornwall Council,  Opportunity,  Open,  England,"  24 June 2024, 12pm","  £75,000,000",  14 May 2024
Radiological Surveillance Programme for OSPAR,DESNZ,  Future opportunity,  Open,  SW1A 2EG,Approach to market date  3 June 2024,"  £220,000",  14 May 2024
Procurement of a Sustainable Travel Strategy by Lancaster City Council to inform the Development Strategy for the Lancaster District Local Plan Review,Lancaster City Council,  Opportunity,  Open,  North West,"  31 May 2024, 12pm",  £1,"  29 April 2024, last edited 14 May 2024"
Kelsey Lakes Desilting Project,London Borough of Bromley,  Opportunity,  Open,  England,"  14 June 2024, 12pm","  £1,857,000",  14 May 2024
Business Events Development and  Marketing - CANCELLED,West Midlands Growth Company Ltd e-Tendering,  Opportunity,  Open,  B4 6AT,"  24 May 2024, 12pm","  £0 to £100,000","   7 May 2024, last edited 14 May 2024"
BURY OLE RENEWAL PHASE 1,Transport for Greater Manchester,  Opportunity,  Open,  England,"  26 June 2024, 12pm","  £2,000,000",  14 May 2024
Anti Fraud Services,NHS Resolution,  Opportunity,  Open,  LS1 4AP,"  24 May 2024, 12pm","  £106,000",  14 May 2024
2023-683 Interpreting LIDAR Scanning Data to assess Biomass & Carbon stocks.,AHDB,  Opportunity,  Open,  CV3 4PE,"  14 June 2024, 12pm",  £0,  14 May 2024
TD2138 - Council House Lift Refurbishment,DERBY CITY COUNCIL,  Opportunity,  Open,  East Midlands,"  24 June 2024, 12pm","  £208,000",  14 May 2024
"THE SUPPLY OF ULTRA LOW TEMPERATURE (ULT) FREEZERS SERVICE, MAINTENANCE AND REPAIR",University of York,  Opportunity,  Open,  YO10 5DD,"  21 June 2024, 12pm","  £0 to £80,000",  14 May 2024
PAN2755 - Cleaning Supplies and Consumables,Leicester City Council,  Opportunity,  Open,  England,"  13 June 2024, 12pm","  £650,000",  14 May 2024
Construction Partner for Workington Workshop,North West Ambulance Service,  Opportunity,  Open,  BL1 5DD,"   7 June 2024,  5pm",  £0 to £0.01,  14 May 2024
ENPA0013-24 Provision of Landscape Recovery Farm Conservation Advisory Service,Exmoor National Park Authority,  Opportunity,  Open,  England,"   5 June 2024, 12pm","  £110,000",  14 May 2024
Supply of Mains Water and Sewerage Services,English Heritage-Procurement,  Opportunity,  Open,  SN2 2EH,"  14 June 2024, 12pm","  £625,000 to £840,000",  14 May 2024
NHG Electronic Security Framework,Notting Hill Genesis,  Opportunity,  Open,  Any region,"  16 August 2024, 12am","  £180,000,000",  14 May 2024
Market Test for a Supported Lodgings Service for Young People,St.Helens Council,  Future opportunity,  Open,  England,Approach to market date 31 May 2024,"  £2,625,000",  14 May 2024
Repair and Maintenance of Passenger Lifts,Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  England,"  21 June 2024,  2pm","  £300,000 to £500,000",  14 May 2024
Demolition Works,Offshore Renewable Energy Catapult,  Opportunity,  Open,  NE24 1LZ,"  14 June 2024, 12pm","  £200,000",  14 May 2024
ADOPTION SUPPORT ATTACHMENT THERAPY,Cumberland Council,  Opportunity,  Open,  England,"  11 June 2024, 11am","  £112,500 to £190,000","  14 May 2024, last edited 14 May 2024"
PB2023-01429 - Respite Care package to be carried out in the home for Adult - ID405332,Darlington Borough Council,  Opportunity,  Open,  North East,"  24 May 2024, 12pm",  £0,  14 May 2024
Adoption Support - Family Therapy,Cumberland Council,  Opportunity,  Open,  England,"  11 June 2024, 11am","  £110,625 to £196,000",  14 May 2024
UKHSA_Scientific- Provision of Viral Antigens,UK Health Security Agency,  Opportunity,  Open,  E14 4PU,"  14 June 2024, 12pm","  £240,000",  14 May 2024
BSIP Bus Service Enhancements - SO92 - HDG/2024/716,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  18 June 2024, 12pm",  £0,  14 May 2024
"Ann's Pasties, Helston Cornwall- Solar Panel System",ANGEGYN LTD,  Opportunity,  Open,  South West,"  10 June 2024,  5pm","  £40,000 to £50,000",  14 May 2024
MNCEA South Cornwall Inshore Dive Survey,Natural England,  Opportunity,  Open,  South West,"  27 May 2024,  5pm","  £4,096 to £10,240",  14 May 2024
Quotation for Secure IT Equipment Disposal and Ethical Recycling,Sunderland City Council,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £30,000",  14 May 2024
Gas and LNG Analysis Subscription Service,DESNZ,  Early engagement,  Open,  Any region,  23 May 2024,Publication date 14 May 2024,None
CA14084 - Waltham Forest College Tender for Replacement Lift,Waltham Forest College,  Opportunity,  Open,  E17 4JB,"  31 May 2024, 12pm","  £75,000",  14 May 2024
"DDPT020 Footpath Resurfacing, Hall Leys Park, Matlock",Derbyshire Dales District Council,  Opportunity,  Open,  England,"  19 June 2024, 12pm","  £300,000",  14 May 2024
CF Advanced Wound Care 2025,NHS Supply Chain,  Early engagement,  Open,  Any region,  11 December 2024,"Publication date 12 December 2023, last edited 14 May 2024",None
North Area Council Youth Resilience Fund 2024 to 2026 Competitive Grant,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"  14 June 2024,  4pm","  £200,000",  14 May 2024
CA14103 - Cheshire College South & West - Emergency Lighting Upgrade Phase 3 - ITT,Cheshire College South and West,  Opportunity,  Open,  CH65 7BF,"   5 June 2024,  5pm",  £0,  14 May 2024
CBC-1682-FA-LS Disabled Facilities Grant (DFG) Works,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"  17 June 2024,  9am",  £0,  14 May 2024
NRC Augmented Reality (AR) and Virtual Reality (VR),Nottingham University Hospital,  Early engagement,  Open,  NG5 1PB,  12 June 2024,Publication date 14 May 2024,None
GB-Rochford: Cash Collection Service,Rochford District Council,  Opportunity,  Open,  East of England,"  17 June 2024, 12pm","  £50,000 to £100,000",  14 May 2024
City of London Energy Supply Contract 2025 - Soft Market Testing,City of London Corporation,  Early engagement,  Open,  London,   3 June 2024,Publication date 14 May 2024,None
Cawsand Bridge Demolition and Construction,Corserv Limited,  Opportunity,  Open,  England,"   6 June 2024,  2pm","  £250,000","   9 May 2024, last edited 14 May 2024"
Lightning Protection & Mansafes Servicing,ROOFTOP HOUSING GROUP LIMITED,  Opportunity,  Open,  WR11 4YD,"  23 May 2024, 12pm",  £0,"  23 April 2024, last edited 14 May 2024"
Fire Door Replacement Contract,Thanet District Council,  Opportunity,  Open,  England,"  10 June 2024,  2pm","  £3,900,000","   3 May 2024, last edited 14 May 2024"
Internal Works Ref : L160 / 232551HE,London Borough of Ealing Council,  Opportunity,  Open,  W5 2HL,"  18 June 2024, 12pm","  £66,554,663",  14 May 2024
EEM0071 Vacant Property Services Framework,EFFICIENCY EAST MIDLANDS LIMITED,  Early engagement,  Open,"  England, Wales",   1 July 2024,Publication date 14 May 2024,None
Stockport Council Data Analysis Capability,Stockport Metropolitan Borough Council,  Opportunity,  Open,  United Kingdom,"  31 May 2024,  4pm","  £40,000",  14 May 2024
Market Engagement Opportunity: Children's Domiciliary Care in Bedford Borough,Bedford Borough Council,  Early engagement,  Open,  MK42 9AP,  28 May 2024,Publication date 14 May 2024,None
"Contract for the provision of consultancy services, Neighbourhoods & Environment Target Operating Model",London Borough of Waltham Forest,  Opportunity,  Open,  United Kingdom,"  30 May 2024,  5pm","  £80,000","   9 May 2024, last edited 14 May 2024"
Hexapod Hose,University of Bristol,  Opportunity,  Open,  BS40 5DU,"   7 June 2024,  1pm","  £20,000","  13 May 2024, last edited 14 May 2024"
Underpinning and structural repairs,Swindon Borough Council,  Opportunity,  Open,  South West,"  10 June 2024,  3pm","  £80,000",  14 May 2024
Truro Northern Access Road (NAR) Soft Landscaping,Corserv Limited,  Opportunity,  Open,  England,"  31 May 2024,  2pm","  £1,000,000",  14 May 2024
PL0283 - Shrub Hill Property Advisor,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  23 May 2024, 12pm",  £0,"  10 May 2024, last edited 14 May 2024"
Essex County Council - Supported Living Framework Engagement Session,Essex County Council,  Early engagement,  Open,"  East of England, South East",  31 May 2024,Publication date 14 May 2024,None
BaDC-1375-S-OPE HR Systems,Welland Procurement,  Early engagement,  Open,  England,  14 August 2024,Publication date 14 May 2024,None
Listed Buildings Structural and Civil Engineer - Newtown Works,ASHFORD INTERNATIONAL DEVELOPMENT COMPANY LIMITED,  Opportunity,  Open,  South East,"  11 June 2024, 12pm","  £50,000",  14 May 2024
Listed Buildings MEP Engineer - Newtown Works,ASHFORD INTERNATIONAL DEVELOPMENT COMPANY LIMITED,  Opportunity,  Open,  South East,"  11 June 2024, 12pm","  £25,000",  14 May 2024
Listed Buildings Architect - Newtown Works,ASHFORD INTERNATIONAL DEVELOPMENT COMPANY LIMITED,  Opportunity,  Open,  South East,"  11 June 2024, 12pm","  £80,000",  14 May 2024
"Upcoming Procurement of a Consultant to provide Project Management and Quantity Surveyor Services for a Major Compound Remodelling and Refurbishment at British Embassy, Tokyo",Foreign Commonwealth and Development Office,  Future opportunity,  Open,  Any region,Approach to market date 31 May 2024,  £0,  14 May 2024
supply of Overalls with laundry service,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  30 May 2024, 12am","  £10,000",  14 May 2024
Provision of Tyres and Tyre Services,Bedford Borough Council,  Opportunity,  Open,  MK42 9AP,"  14 June 2024, 11am","  £160,000 to £320,000","  13 May 2024, last edited 14 May 2024"
Supply of Waste Services,Via East Midlands,  Opportunity,  Open,  ng22 8st,"  13 June 2024,  3pm","  £185,000",  14 May 2024
Pseudo-DPS for Alternative Education Provision (AP) 2024 - 2027,Bedford Borough Council,  Opportunity,  Open,  MK42 9AP,"  22 March 2027, 12pm","  £0 to £2,150,000","   9 February 2024, last edited 14 May 2024"
Fixed Wire Testing,LIFECYCLE MANAGEMENT GROUP LIMITED,  Opportunity,  Open,  GL1 3NN,"  28 May 2024,  2pm",  £0,"  24 April 2024, last edited 14 May 2024"
South Cambridgeshire District Council - Clerk of Works/Employers Agent 140 Cambridge Science Park Re-roofing Project,South Cambridgeshire District Council,  Opportunity,  Open,  East of England,"   4 June 2024,  1pm",  £0,  14 May 2024
"Contestable Electrical Works, Ashbourne Methodist Church",GREENWOOD PROJECTS LIMITED,  Opportunity,  Open,  DE6 1AE,"  10 June 2024,  5pm","  £35,000",  14 May 2024
GB-Bristol: Steel Portal Framed Building   Tree Processing and Packing Facility,"Forestry Commission, acting through Forestry England (hereinafter referred to as Forestry England)",  Opportunity,  Open,  North West,"  11 June 2024, 12pm","  £500,000 to £1,000,000",  14 May 2024
Kitchens & Bathrooms Replacement Planned Works - North East,Accent Housing- e-Tendering System,  Early engagement,  Open,  BD1 4AS,  14 August 2024,Publication date 14 May 2024,None
Grounds Maintenance - ML2024/006,Magenta Living,  Opportunity,  Open,  England,"   7 June 2024,  1pm","  £3,000,000","   8 May 2024, last edited 14 May 2024"
PIN: Veterinary Experts panel,Competition Markets Authority,  Opportunity,  Open,  London,"  28 May 2024, 12am","  £90,000",  14 May 2024
Provision of Insurance and related services to Sovereign Housing Association Limited T/A Sovereign Network Group & Sovereign Network Homes T/A Sovereign Network Group,Sovereign Housing Association Limited T/A Sovereign Network Group & Sovereign Network Homes T/A Sovereign Network Group,  Opportunity,  Open,  Any region,"  13 June 2024,  5pm","  £23,265,000",  14 May 2024
COV - Organic Waste,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  14 June 2024, 12pm","  £0 to £9,555,000",  14 May 2024
Emergency Lighting Discharge Testing Boroughwide 2024-2027,Dartford Borough Council,  Opportunity,  Open,  South East,"  13 June 2024, 12pm","  £90,000",  14 May 2024
CA14100 - Tender Fire alarm end of life project. Location SN3 1AH,New College Swindon,  Opportunity,  Open,  SN3 1AH,"   4 June 2024, 10am",  £0,  14 May 2024
The Provision of Specialist Substance Use Detoxification and Rehabilitation Services,Lancashire County Council,  Opportunity,  Open,  North West,"  31 July 2034, 10am","  £30,217,214",  14 May 2024
